id;Name
894;"ООО ""Центр Независимой Оценки ""УралЕвроАзия"""
2;"ООО ""Уральская палата оценки"""
4832;"ООО ""АУДЭКС"""
4;Областной государственный Центр технической инвентаризации и регистрации недвижимости Свердловской области
4852;ООО Агентство независимой оценки Интеграл-Партнер
6;Уральский центр оценки и консалтинга
992;"ООО ""РосСтэп"""
8;Уральский экономический арбитраж - Аудит (ООО)
9;"ООО ""Центральное Бюро Экспертизы и Оценки"""
10;"ГУП Оренбургской области ""Областной центр инвентаризации и оценки недвижимости"""
1152;"ООО ""Оценка недвижимости и бизнеса"""
12;"Консалдинговый центр ""АВАЛЬ"""
4932;"Общество с ограниченной ответственностью ""Гранд Реал"""
1353;ИП Гульман В.С.
15;"ЗАО ""Дубль-Гео"""
4952;ИП Аверьянова Т.В.
17;"ЗАО ""Тюменская недвижимость"""
18;"ЗАО ""Центр развития промышленных технологий и безопасности предприятий Сафети"""
4972;"ООО ""Оценка Групп"""
20;"Закрытое акционерное общество консультационно-аналитический центр ""РОССИЙСКИЙ СТАНДАРТ"""
21;И.П. Таланкина
22;"ИП ""Челочева Лариса Александровна"""


